Date,Close,1d_abs,1d_dir,2d_abs,1d_cls,2d_cls,3d_cls,4d_cls,5d_cls,6d_cls,7d_cls,8d_cls,9d_cls,10d_cls,50d_ma,100d_ma,200d_ma,future_price
2011-06-24,19.66,-0.2699999999999996,0,-0.28000000000000114,19.93,19.94,20.03,19.8,19.63,19.42,19.21,19.6,19.45,19.18,20.082800000000024,20.57179999999999,20.851600000000005,22.55
2011-06-27,20.39,0.7300000000000004,1,0.46000000000000085,19.66,19.93,19.94,20.03,19.8,19.63,19.42,19.21,19.6,19.45,20.082000000000022,20.552399999999988,20.858850000000007,22.32
2011-06-28,20.87,0.4800000000000004,1,1.2100000000000009,20.39,19.66,19.93,19.94,20.03,19.8,19.63,19.42,19.21,19.6,20.091600000000025,20.540199999999984,20.86350000000001,22.72
2011-06-29,20.73,-0.14000000000000057,0,0.33999999999999986,20.87,20.39,19.66,19.93,19.94,20.03,19.8,19.63,19.42,19.21,20.103000000000023,20.525599999999987,20.867750000000004,23.04
2011-06-30,21.04,0.3099999999999987,1,0.16999999999999815,20.73,20.87,20.39,19.66,19.93,19.94,20.03,19.8,19.63,19.42,20.119400000000024,20.510699999999982,20.873200000000008,22.98
2011-07-01,21.05,0.010000000000001563,1,0.3200000000000003,21.04,20.73,20.87,20.39,19.66,19.93,19.94,20.03,19.8,19.63,20.126200000000022,20.495199999999986,20.87785000000001,22.87
2011-07-05,21.06,0.00999999999999801,1,0.019999999999999574,21.05,21.04,20.73,20.87,20.39,19.66,19.93,19.94,20.03,19.8,20.13720000000002,20.482299999999988,20.88300000000001,22.61
2011-07-06,21.3,0.240000000000002,1,0.25,21.06,21.05,21.04,20.73,20.87,20.39,19.66,19.93,19.94,20.03,20.15140000000002,20.47559999999999,20.88850000000001,22.86
2011-07-07,21.66,0.35999999999999943,1,0.6000000000000014,21.3,21.06,21.05,21.04,20.73,20.87,20.39,19.66,19.93,19.94,20.16360000000002,20.47449999999999,20.89695000000001,23.25
2011-07-08,21.78,0.120000000000001,1,0.4800000000000004,21.66,21.3,21.06,21.05,21.04,20.73,20.87,20.39,19.66,19.93,20.175200000000018,20.47469999999999,20.908100000000008,23.04
2011-07-11,21.55,-0.23000000000000043,0,-0.10999999999999943,21.78,21.66,21.3,21.06,21.05,21.04,20.73,20.87,20.39,19.66,20.176800000000018,20.47349999999999,20.91885000000001,23.35
2011-07-12,21.47,-0.08000000000000185,0,-0.3100000000000023,21.55,21.78,21.66,21.3,21.06,21.05,21.04,20.73,20.87,20.39,20.189600000000016,20.47099999999999,20.927800000000012,23.15
2011-07-13,21.55,0.08000000000000185,1,0.0,21.47,21.55,21.78,21.66,21.3,21.06,21.05,21.04,20.73,20.87,20.208000000000016,20.46779999999999,20.93735000000001,22.83
2011-07-14,21.42,-0.129999999999999,0,-0.04999999999999716,21.55,21.47,21.55,21.78,21.66,21.3,21.06,21.05,21.04,20.73,20.221400000000017,20.46449999999999,20.94645000000001,22.66
2011-07-15,21.67,0.25,1,0.120000000000001,21.42,21.55,21.47,21.55,21.78,21.66,21.3,21.06,21.05,21.04,20.23580000000002,20.46749999999999,20.95750000000001,22.74
2011-07-18,21.51,-0.16000000000000014,0,0.08999999999999986,21.67,21.42,21.55,21.47,21.55,21.78,21.66,21.3,21.06,21.05,20.251400000000018,20.468899999999994,20.96780000000001,22.4
2011-07-19,22.28,0.7699999999999996,1,0.6099999999999994,21.51,21.67,21.42,21.55,21.47,21.55,21.78,21.66,21.3,21.06,20.281200000000016,20.476499999999998,20.982400000000013,22.53
2011-07-20,21.89,-0.39000000000000057,0,0.379999999999999,22.28,21.51,21.67,21.42,21.55,21.47,21.55,21.78,21.66,21.3,20.30380000000002,20.481999999999992,20.996900000000014,23.3
2011-07-21,21.93,0.03999999999999915,1,-0.3500000000000014,21.89,22.28,21.51,21.67,21.42,21.55,21.47,21.55,21.78,21.66,20.32980000000002,20.487599999999993,21.009850000000014,22.99
2011-07-22,22.27,0.33999999999999986,1,0.379999999999999,21.93,21.89,22.28,21.51,21.67,21.42,21.55,21.47,21.55,21.78,20.367600000000024,20.49999999999999,21.024200000000018,22.56
2011-07-25,22.58,0.3099999999999987,1,0.6499999999999986,22.27,21.93,21.89,22.28,21.51,21.67,21.42,21.55,21.47,21.55,20.412200000000023,20.51619999999999,21.03970000000002,22.51
2011-07-26,22.72,0.14000000000000057,1,0.4499999999999993,22.58,22.27,21.93,21.89,22.28,21.51,21.67,21.42,21.55,21.47,20.46420000000002,20.532799999999988,21.05575000000002,22.4
2011-07-27,22.11,-0.6099999999999994,0,-0.46999999999999886,22.72,22.58,22.27,21.93,21.89,22.28,21.51,21.67,21.42,21.55,20.511400000000023,20.545299999999987,21.06865000000002,22.52
2011-07-28,22.43,0.3200000000000003,1,-0.28999999999999915,22.11,22.72,22.58,22.27,21.93,21.89,22.28,21.51,21.67,21.42,20.563200000000023,20.562899999999985,21.08220000000002,22.32
2011-07-29,22.17,-0.259999999999998,0,0.060000000000002274,22.43,22.11,22.72,22.58,22.27,21.93,21.89,22.28,21.51,21.67,20.607000000000024,20.57629999999999,21.09245000000002,22.63
2011-08-01,22.06,-0.11000000000000298,0,-0.370000000000001,22.17,22.43,22.11,22.72,22.58,22.27,21.93,21.89,22.28,21.51,20.648200000000024,20.58879999999999,21.102550000000022,22.68
2011-08-02,21.68,-0.379999999999999,0,-0.490000000000002,22.06,22.17,22.43,22.11,22.72,22.58,22.27,21.93,21.89,22.28,20.685600000000026,20.601399999999984,21.109550000000027,22.95
2011-08-03,21.78,0.10000000000000142,1,-0.2799999999999976,21.68,22.06,22.17,22.43,22.11,22.72,22.58,22.27,21.93,21.89,20.73000000000003,20.61279999999999,21.115900000000025,22.81
2011-08-04,20.99,-0.7900000000000027,0,-0.6900000000000013,21.78,21.68,22.06,22.17,22.43,22.11,22.72,22.58,22.27,21.93,20.75900000000003,20.616199999999985,21.121200000000023,22.99
2011-08-05,20.78,-0.2099999999999973,0,-1.0,20.99,21.78,21.68,22.06,22.17,22.43,22.11,22.72,22.58,22.27,20.78320000000003,20.619899999999987,21.12460000000002,22.99
2011-08-08,19.81,-0.9700000000000024,0,-1.1799999999999997,20.78,20.99,21.78,21.68,22.06,22.17,22.43,22.11,22.72,22.58,20.780200000000026,20.61869999999999,21.122700000000023,22.9
2011-08-09,20.7,0.8900000000000006,1,-0.08000000000000185,19.81,20.78,20.99,21.78,21.68,22.06,22.17,22.43,22.11,22.72,20.79360000000003,20.626499999999986,21.125400000000024,23.29
2011-08-10,19.58,-1.120000000000001,0,-0.23000000000000043,20.7,19.81,20.78,20.99,21.78,21.68,22.06,22.17,22.43,22.11,20.780600000000028,20.622999999999987,21.12325000000002,23.31
2011-08-11,20.38,0.8000000000000007,1,-0.3200000000000003,19.58,20.7,19.81,20.78,20.99,21.78,21.68,22.06,22.17,22.43,20.792800000000028,20.623199999999986,21.122300000000024,23.52
2011-08-12,20.31,-0.07000000000000028,0,0.7300000000000004,20.38,19.58,20.7,19.81,20.78,20.99,21.78,21.68,22.06,22.17,20.80700000000003,20.622899999999987,21.12040000000003,23.54
2011-08-15,20.64,0.33000000000000185,1,0.26000000000000156,20.31,20.38,19.58,20.7,19.81,20.78,20.99,21.78,21.68,22.06,20.833000000000034,20.62399999999998,21.11925000000003,23.63
2011-08-16,20.64,0.0,0,0.33000000000000185,20.64,20.31,20.38,19.58,20.7,19.81,20.78,20.99,21.78,21.68,20.857200000000034,20.62289999999998,21.11655000000003,23.49
2011-08-17,20.56,-0.08000000000000185,0,-0.08000000000000185,20.64,20.64,20.31,20.38,19.58,20.7,19.81,20.78,20.99,21.78,20.879000000000033,20.62259999999998,21.112350000000035,23.15
2011-08-18,20.09,-0.46999999999999886,0,-0.5500000000000007,20.56,20.64,20.64,20.31,20.38,19.58,20.7,19.81,20.78,20.99,20.89340000000003,20.61929999999998,21.104050000000033,23.56
2011-08-19,19.58,-0.5100000000000016,0,-0.9800000000000004,20.09,20.56,20.64,20.64,20.31,20.38,19.58,20.7,19.81,20.78,20.89720000000003,20.61019999999998,21.09460000000003,23.15
2011-08-22,19.52,-0.05999999999999872,0,-0.5700000000000003,19.58,20.09,20.56,20.64,20.64,20.31,20.38,19.58,20.7,19.81,20.90400000000003,20.59949999999998,21.084450000000032,23.2
2011-08-23,20.13,0.6099999999999994,1,0.5500000000000007,19.52,19.58,20.09,20.56,20.64,20.64,20.31,20.38,19.58,20.7,20.91760000000003,20.596699999999984,21.078500000000034,23.06
2011-08-24,20.27,0.14000000000000057,1,0.75,20.13,19.52,19.58,20.09,20.56,20.64,20.64,20.31,20.38,19.58,20.93100000000003,20.594599999999982,21.07340000000004,23.01
2011-08-25,20.0,-0.2699999999999996,0,-0.129999999999999,20.27,20.13,19.52,19.58,20.09,20.56,20.64,20.64,20.31,20.38,20.94680000000003,20.589199999999984,21.06640000000004,23.24
2011-08-26,20.56,0.5599999999999987,1,0.28999999999999915,20.0,20.27,20.13,19.52,19.58,20.09,20.56,20.64,20.64,20.31,20.969600000000028,20.587599999999984,21.062200000000043,23.5
2011-08-29,21.04,0.4800000000000004,1,1.0399999999999991,20.56,20.0,20.27,20.13,19.52,19.58,20.09,20.56,20.64,20.64,20.997800000000026,20.587799999999984,21.061450000000047,23.52
2011-08-30,21.36,0.3200000000000003,1,0.8000000000000007,21.04,20.56,20.0,20.27,20.13,19.52,19.58,20.09,20.56,20.64,21.029000000000025,20.590799999999987,21.063950000000045,23.64
2011-08-31,21.66,0.3000000000000007,1,0.620000000000001,21.36,21.04,20.56,20.0,20.27,20.13,19.52,19.58,20.09,20.56,21.061600000000027,20.597799999999985,21.068200000000044,23.65
2011-09-01,21.34,-0.3200000000000003,0,-0.019999999999999574,21.66,21.36,21.04,20.56,20.0,20.27,20.13,19.52,19.58,20.09,21.089600000000022,20.602399999999985,21.071800000000042,23.63
2011-09-02,21.01,-0.3299999999999983,0,-0.6499999999999986,21.34,21.66,21.36,21.04,20.56,20.0,20.27,20.13,19.52,19.58,21.11120000000002,20.606399999999987,21.074700000000043,23.86
2011-09-06,20.77,-0.240000000000002,0,-0.5700000000000003,21.01,21.34,21.66,21.36,21.04,20.56,20.0,20.27,20.13,19.52,21.13340000000002,20.608099999999986,21.07530000000005,23.7
2011-09-07,21.17,0.40000000000000213,1,0.16000000000000014,20.77,21.01,21.34,21.66,21.36,21.04,20.56,20.0,20.27,20.13,21.14900000000002,20.615499999999987,21.078500000000048,23.38
2011-09-08,21.35,0.17999999999999972,1,0.5800000000000018,21.17,20.77,21.01,21.34,21.66,21.36,21.04,20.56,20.0,20.27,21.15860000000002,20.62509999999999,21.082450000000048,23.61
2011-09-09,20.96,-0.39000000000000057,0,-0.21000000000000085,21.35,21.17,20.77,21.01,21.34,21.66,21.36,21.04,20.56,20.0,21.16320000000002,20.633099999999992,21.08690000000005,23.28
2011-09-12,21.08,0.11999999999999744,1,-0.2700000000000031,20.96,21.35,21.17,20.77,21.01,21.34,21.66,21.36,21.04,20.56,21.16400000000002,20.641699999999993,21.09095000000005,23.28
2011-09-13,21.2,0.120000000000001,1,0.23999999999999844,21.08,20.96,21.35,21.17,20.77,21.01,21.34,21.66,21.36,21.04,21.16700000000002,20.64659999999999,21.096050000000044,23.65
2011-09-14,21.58,0.379999999999999,1,0.5,21.2,21.08,20.96,21.35,21.17,20.77,21.01,21.34,21.66,21.36,21.17740000000002,20.657299999999985,21.102850000000043,23.64
2011-09-15,21.97,0.39000000000000057,1,0.7699999999999996,21.58,21.2,21.08,20.96,21.35,21.17,20.77,21.01,21.34,21.66,21.19080000000002,20.67109999999998,21.111800000000045,23.77
2011-09-16,22.08,0.10999999999999943,1,0.5,21.97,21.58,21.2,21.08,20.96,21.35,21.17,20.77,21.01,21.34,21.19920000000002,20.681399999999982,21.118150000000043,23.94
2011-09-19,22.15,0.07000000000000028,1,0.17999999999999972,22.08,21.97,21.58,21.2,21.08,20.96,21.35,21.17,20.77,21.01,21.206600000000023,20.690899999999985,21.121450000000042,24.11
2011-09-20,21.97,-0.17999999999999972,0,-0.10999999999999943,22.15,22.08,21.97,21.58,21.2,21.08,20.96,21.35,21.17,20.77,21.21500000000002,20.695899999999984,21.12335000000004,23.89
2011-09-21,21.16,-0.8099999999999987,0,-0.9899999999999984,21.97,22.15,22.08,21.97,21.58,21.2,21.08,20.96,21.35,21.17,21.208800000000025,20.699199999999983,21.121900000000043,23.93
2011-09-22,20.4,-0.7600000000000016,0,-1.5700000000000003,21.16,21.97,22.15,22.08,21.97,21.58,21.2,21.08,20.96,21.35,21.185800000000025,20.69689999999998,21.11655000000004,23.81
2011-09-23,20.4,0.0,0,-0.7600000000000016,20.4,21.16,21.97,22.15,22.08,21.97,21.58,21.2,21.08,20.96,21.165400000000027,20.693399999999983,21.109750000000034,23.7
